,morality,leadership,caring,knowledgable,intelligent,honest,angry,hopeful,afraid,proud,voting_intention
1385,5.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,-1.0,2.0,1.0
1386,4.0,2.0,1.0,3.0,5.0,1.0,3.0,-1.0,2.0,4.0,1.0
1387,3.0,4.0,4.0,4.0,4.0,3.0,-1.0,2.0,-1.0,-1.0,1.0
1388,5.0,5.0,5.0,5.0,4.0,5.0,-1.0,2.0,-1.0,2.0,1.0
1389,4.0,5.0,4.0,4.0,5.0,4.0,-1.0,2.0,-1.0,3.0,1.0
1390,3.0,3.0,1.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,0.0
1392,5.0,5.0,3.0,5.0,4.0,3.0,-1.0,2.0,-1.0,3.0,1.0
1393,4.0,4.0,4.0,4.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,0.0
1395,5.0,2.0,4.0,2.0,3.0,4.0,-1.0,3.0,-1.0,-1.0,0.0
1396,4.0,3.0,3.0,3.0,3.0,4.0,-1.0,3.0,-1.0,-1.0,0.0
1397,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,-1.0,4.0,0.0
1398,-8.0,2.0,1.0,2.0,-8.0,-8.0,-1.0,-1.0,-1.0,-1.0,1.0
1399,3.0,4.0,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,1.0,0.0
1400,1.0,3.0,1.0,3.0,3.0,1.0,2.0,-1.0,-1.0,-1.0,1.0
1401,5.0,5.0,2.0,5.0,5.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1402,5.0,5.0,4.0,4.0,5.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1404,1.0,1.0,1.0,2.0,3.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1405,3.0,3.0,1.0,3.0,3.0,3.0,2.0,-1.0,2.0,-1.0,1.0
1407,3.0,3.0,2.0,2.0,4.0,2.0,3.0,-1.0,2.0,-1.0,1.0
1408,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,1.0
1409,3.0,3.0,2.0,2.0,3.0,2.0,-1.0,-1.0,4.0,-1.0,1.0
1410,5.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,-1.0,1.0,1.0
1412,4.0,4.0,4.0,4.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1413,4.0,3.0,3.0,4.0,5.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1414,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-1.0,-1.0,-1.0,-1.0,1.0
1416,3.0,2.0,1.0,2.0,3.0,3.0,4.0,-1.0,-1.0,-1.0,1.0
1418,4.0,3.0,2.0,2.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1419,-8.0,-8.0,1.0,2.0,-8.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1420,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1422,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,-1.0,-1.0,1.0
1423,3.0,2.0,1.0,2.0,5.0,2.0,3.0,-1.0,-1.0,-1.0,1.0
1424,3.0,1.0,1.0,3.0,3.0,1.0,2.0,-1.0,-1.0,-1.0,1.0
1426,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1431,2.0,2.0,1.0,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,1.0
1432,2.0,2.0,2.0,4.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1436,2.0,1.0,1.0,3.0,3.0,1.0,-1.0,-1.0,4.0,-1.0,1.0
1437,1.0,1.0,1.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1438,3.0,3.0,2.0,5.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1439,2.0,2.0,1.0,4.0,4.0,2.0,4.0,-1.0,-1.0,-1.0,1.0
1440,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1443,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,1.0,-1.0,1.0,1.0
1444,4.0,4.0,2.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,1.0
1445,-8.0,2.0,1.0,2.0,2.0,2.0,2.0,-1.0,5.0,-1.0,0.0
1448,2.0,1.0,1.0,2.0,5.0,1.0,4.0,4.0,-1.0,-1.0,0.0
1449,2.0,1.0,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0
1450,5.0,5.0,2.0,5.0,5.0,2.0,-1.0,4.0,-1.0,-1.0,1.0
1451,5.0,5.0,4.0,5.0,5.0,5.0,-1.0,1.0,4.0,1.0,1.0
1452,5.0,4.0,4.0,4.0,4.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1453,4.0,5.0,3.0,4.0,4.0,4.0,-1.0,1.0,-1.0,1.0,1.0
1456,4.0,5.0,4.0,4.0,5.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1461,3.0,3.0,1.0,4.0,4.0,3.0,-1.0,3.0,-1.0,-1.0,1.0
1463,2.0,3.0,2.0,4.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
1464,4.0,4.0,3.0,5.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,1.0
1465,2.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,4.0,-1.0,1.0
1466,1.0,1.0,1.0,1.0,3.0,2.0,1.0,-1.0,2.0,-1.0,1.0
1467,2.0,4.0,1.0,3.0,3.0,1.0,3.0,-1.0,-1.0,-1.0,1.0
1468,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
1471,1.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1473,3.0,3.0,3.0,3.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0
1474,1.0,-8.0,1.0,4.0,5.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1475,2.0,1.0,1.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1476,3.0,-8.0,1.0,4.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1477,5.0,5.0,4.0,5.0,5.0,5.0,-1.0,2.0,-1.0,2.0,1.0
1481,4.0,-8.0,-8.0,-8.0,-8.0,4.0,-1.0,2.0,-1.0,-1.0,1.0
1482,3.0,4.0,4.0,4.0,3.0,4.0,4.0,-1.0,4.0,-1.0,1.0
1484,3.0,1.0,1.0,3.0,3.0,3.0,4.0,-1.0,-1.0,-1.0,1.0
1485,1.0,4.0,1.0,4.0,4.0,1.0,4.0,-1.0,4.0,-1.0,1.0
1486,2.0,-8.0,1.0,3.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1487,1.0,1.0,1.0,4.0,4.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1488,5.0,2.0,4.0,2.0,4.0,3.0,-1.0,4.0,-1.0,-1.0,0.0
1491,2.0,2.0,1.0,1.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,1.0
1493,5.0,5.0,4.0,4.0,5.0,4.0,-1.0,1.0,-1.0,-1.0,1.0
1494,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,2.0,-1.0,2.0,1.0
1497,4.0,3.0,3.0,4.0,4.0,3.0,4.0,-1.0,4.0,4.0,1.0
1504,4.0,-8.0,3.0,4.0,5.0,3.0,-1.0,4.0,-1.0,-1.0,0.0
1506,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1508,-8.0,2.0,-8.0,4.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
